card_id,iteration,games,wins,win_rate,avg_game_len,adjustment
clear_weather,1,53,13,0.24528301886792453,13.566037735849056,2
plague_maiden,1,27,12,0.4444444444444444,13.333333333333332,0
vampire_bruxa,1,33,24,0.7272727272727273,15.06060606060606,-1
decoy,1,257,117,0.45525291828793774,13.43579766536965,0
crone_brewess,1,25,12,0.48,14.120000000000001,0
triss,1,114,67,0.5877192982456141,13.535087719298245,0
grave_hag,1,27,15,0.5555555555555556,13.777777777777777,0
ghoul2,1,15,9,0.6,14.266666666666666,0
ghoul1,1,26,13,0.5,14.115384615384617,0
torrential_rain,1,411,177,0.4306569343065693,13.715328467153284,0
ciri,1,83,47,0.5662650602409639,13.349397590361447,0
siege_engineer,1,24,11,0.4583333333333333,13.083333333333332,0
biting_frost,1,377,169,0.4482758620689655,13.753315649867373,0
geralt,1,79,36,0.45569620253164556,13.60759493670886,0
cahir_mawr_dyffryn_aep_ceallach,1,29,10,0.3448275862068966,13.310344827586206,1
impera_brigade_guard,1,77,30,0.38961038961038963,13.285714285714286,1
rotten_mangonel,1,30,11,0.36666666666666664,13.5,1
morvran_voorhis,1,35,14,0.4,13.571428571428571,0
botchling,1,22,9,0.4090909090909091,13.954545454545455,0
arachas2,1,24,13,0.5416666666666666,14.666666666666666,0
vesemir,1,91,48,0.5274725274725275,13.230769230769232,0
poor_fucking_infantry,1,87,35,0.40229885057471265,13.436781609195402,0
keira_metz,1,23,12,0.5217391304347826,12.521739130434781,0
kaedweni_siege_expert,1,77,37,0.4805194805194805,13.571428571428573,0
scorch,1,94,31,0.32978723404255317,13.797872340425531,1
esterad_thyssen,1,25,12,0.48,13.72,0
commanders_horn,1,235,128,0.5446808510638298,13.37872340425532,0
trebuchet,1,44,25,0.5681818181818182,12.977272727272728,0
prince_stennis,1,27,7,0.25925925925925924,14.11111111111111,1
vampire_garkain,1,27,21,0.7777777777777778,14.148148148148147,-2
isengrim_faoiltiarnah,1,36,21,0.5833333333333334,12.916666666666666,0
vrihedd_brigade_veteran,1,65,36,0.5538461538461539,13.107692307692309,0
dol_blathanna_archer,1,33,17,0.5151515151515151,13.636363636363637,0
elven_skirmisher,1,33,17,0.5151515151515151,13.787878787878789,0
elven_skirmisher1,1,29,14,0.4827586206896552,13.931034482758621,0
saesenthessis,1,15,9,0.6,13.066666666666666,0
havekar_smuggler3,1,17,8,0.47058823529411764,13.823529411764707,0
toruviel,1,29,15,0.5172413793103449,13.310344827586206,0
yarpen_zigrin,1,28,13,0.4642857142857143,12.857142857142856,0
catapult,1,49,19,0.3877551020408163,13.265306122448978,1
crone_whispess,1,10,4,0.4,13.8,0
arachas3,1,33,21,0.6363636363636364,14.727272727272728,-1
vampire_fleder,1,34,23,0.6764705882352942,14.558823529411764,-1
impenetrable_fog,1,378,168,0.4444444444444444,13.743386243386242,0
yen,1,115,56,0.48695652173913045,13.373913043478261,0
arachas_behemoth,1,25,18,0.72,14.76,-1
draug,1,21,16,0.7619047619047619,14.285714285714285,-2
puttkammer,1,35,20,0.5714285714285714,13.685714285714285,0
young_emmisary,1,28,13,0.4642857142857143,13.428571428571427,0
albrich,1,44,15,0.3409090909090909,13.613636363636363,1
renuald_aep_matsen,1,27,16,0.5925925925925926,13.148148148148147,0
avallach,1,114,47,0.41228070175438597,14.12280701754386,0
siege_tower,1,9,5,0.5555555555555556,14.11111111111111,0
redanian_foot_soldier,1,48,24,0.5,13.708333333333332,0
dandelion,1,121,63,0.5206611570247934,13.479338842975206,0
vernon_roche,1,36,14,0.3888888888888889,13.5,1
dennis_cranmer,1,24,13,0.5416666666666666,12.833333333333332,0
dwarven_skirmisher3,1,31,16,0.5161290322580645,13.709677419354838,0
ida_emean_aep_sivney,1,12,5,0.4166666666666667,13.166666666666666,0
dol_blathanna_scout,1,53,32,0.6037735849056604,13.433962264150942,-1
yaevinn,1,18,9,0.5,12.777777777777777,0
mahakaman_defender,1,86,47,0.5465116279069767,13.046511627906977,0
villentretenmerth,1,79,42,0.5316455696202531,13.569620253164556,0
crinfrid_reavers_dragon_hunter,1,69,32,0.463768115942029,13.782608695652174,0
sile_de_tansarville,1,10,4,0.4,14.100000000000001,0
sigismund_dijkstra,1,13,6,0.46153846153846156,13.461538461538462,0
forktail,1,25,10,0.4,13.88,0
